OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,latitude,longitude
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39948962,53.5462055,-113.491241
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39625375,53.5462055,-113.491241
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40695023,53.5462055,-113.491241
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40630048,53.5462055,-113.491241
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39722401,53.5462055,-113.491241
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.3981947,53.5462055,-113.491241
636,UNION 76,"I-5, EXIT 233 E",Albany,OR,935,3.379,44.6365071,-123.1059324
651,ONE9 #1366,"I-40, EXIT 126 & US-641",Holladay,TN,460,2.98566666,36.14284,-85.54331
652,TA KNOXVILLE EAST TRAVEL CENTER,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.42566666,35.9603948,-83.9210261
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.39948962,50.348181,-113.774118
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59317483,50.348181,-113.774118
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59114784,50.348181,-113.774118
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60163996,50.348181,-113.774118
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59216111,50.348181,-113.774118
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60231851,50.348181,-113.774118
669,PETRO STOPPING CENTER #350,"I-10,  EXIT 4",Canutillo,TX,640,3.499,31.918022,-106.598
672,CROWN POINT TRUCK STOP,"I-295/US-130,EXIT 22",Thorofare,NJ,150,3.549,39.84234,-75.19629
680,TA EXPRESS SUMMIT,"I-29, EXIT 207 & US-12",Summit,SD,566,3.20566666,45.304406,-97.036466
684,7-ELEVEN #35101,"I-86/SR-17, EXIT 16",Randolph,NY,38,4.499,42.162005,-78.975317
689,FLYING EAGLE,"I-235, EXIT 4",Wichita,KS,570,3.499,37.687288,-97.338469
692,BP,US-63,Ottumwa,IA,489,3.399,40.9921456,-92.4026971
739,Arco #364420,US-23,Greenup,KY,255,3.649,38.5759791,-82.8414548
748,QUIKTRIP #4231,US-85,Evans,CO,800,3.17233333,40.4013789,-104.6908047
769,AYERCO #26,US-61/US-136,Alexandria,MO,345,3.01566666,40.3662394,-91.4553716
815,Kwik Trip #1508,"US-18/SR-151, EXIT 58",Barneveld,WI,420,3.489,43.0153376,-89.8958792
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.379,42.327724,-87.8394189
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.499,42.327724,-87.8394189
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.289,42.327724,-87.8394189
863,Ocean Fuel,US-301/SR-73,Sylvania,GA,195,3.499,32.7624932,-81.646149
906,PILOT TRAVEL CENTERS #429,"I-40, EXIT 280",West Memphis,AR,435,3.499,35.1514,-90.185285
906,PILOT TRAVEL CENTER #429,"I-40, EXIT 280",West Memphis,AR,435,3.291,35.1514,-90.185285
908,CIRCLE K #2704888,"I-65, EXIT 246 & SR-119",Pelham,AL,615,3.46566666,33.285669,-86.8099884
912,PETRO STOPPING CENTER #319,"I-20/59,  EXIT 100",Mc Calla,AL,615,3.12566666,5.534205,-0.4318518
936,CASEYS #4254,"I-40, EXIT 129",Conway,AR,695,3.03233333,35.0891932,-92.4398402
970,CIRCLE K #2702885,"I-17/SR-60, EXIT 199A",Phoenix,AZ,930,3.39233333,33.4663,-112.11041
977,PILOT TRAVEL CENTER #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.959,33.667535,-114.217043
977,PILOT TRAVEL CENTERS #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.959,33.667535,-114.217043
981,STINKER #85,"I-15, EXIT 93",Blackfoot,ID,825,3.53233333,43.190128,-112.350346
982,CIRCLE K #2701948,"I-8, EXIT 7 & SR-195",Yuma,AZ,900,3.56566666,32.7254216,-114.6198088
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.449,39.6620572,-75.5663132
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.399,39.6620572,-75.5663132
1042,Union 76,US-441 & SR-100A,Lake City,FL,75,3.56233333,30.1894252,-82.6394803
1043,ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,75,3.259,30.1894252,-82.6394803
1043,SHELL DBA ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,75,3.244,30.1894252,-82.6394803
1047,TA MARIANNA TRAVEL CENTER,"I-10/SR-8, EXIT 142 & SR-71",Marianna,FL,20,3.60733333,30.7743596,-85.2268735
1075,PILOT TRAVEL CENTER #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,85,3.43233333,32.53877,-82.921248
1075,PILOT TRAVEL CENTERS #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,85,3.399,32.53877,-82.921248
1106,CIRCLE K #2705367,"I-20, EXIT 172",Thomson,GA,16,3.399,33.4663248,-82.5026089
1112,BC AMPRIDE TRUCK PLAZA,US-59/SR-141,Denison,IA,527,3.399,42.0205674,-95.368264
1115,KWIK STAR #704,SR-57/SR-14,Parkersburg,IA,565,3.58233333,42.5755594,-92.7870402
1121,TRAVELERS OASIS,"I-84, EXIT 182",Eden,ID,787,3.799,42.6059001,-114.209645
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.819,42.4286788,-87.9067248
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.879,42.4286788,-87.9067248
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.779,42.4286788,-87.9067248
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.769,42.4286788,-87.9067248
1132,SPEEDWAY #7423,"I-57, EXIT 83",Ina,IL,293,3.249,38.1511606,-88.9039554
